SKUP;DRUH;FREKVENCE_1;FREKVENCE_2;PARAMETR_SLEDOVANI;KATEGORIE;SKUPINA_PARAMETRU_HODNOCENI;PARAMETR_HODNOCENI;PARAMETR_LIMIT;DATA_INPUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cévnaté;Pulsatilla grandis;3;<150 trsù a s MNG 1;pøítomnost a pokryvnost expanzivních a invazních druhù;B;Stav lokality;pøítomnost a pokryvnost expanzivních a invazních druhù;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cévnaté;Pulsatilla grandis;3;<150 trsù a s MNG 1;zastínìní;B;Stav lokality;zastínìní;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cévnaté;Pulsatilla grandis;3;<150 trsù a s MNG 1;vımìra potenciální lokality;B;Stav lokality;vımìra potenciální lokality;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cévnaté;Pulsatilla grandis;3;<150 trsù a s MNG 1;vliv managementu èi jeho absence;A;Management;Management;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cévnaté;Pulsatilla grandis;3;<150 trsù a s MNG 1;jinı negativní vliv;A;Jiné vlivy;jinı negativní vliv;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cévnaté;Aconitum firmum subsp. moravicum;3;;poèetnost populace;B;Stav populace;poèetnost populace;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cévnaté;Aconitum firmum subsp. moravicum;3;;vıvoj poèetnosti populace;B;Stav populace;vıvoj poèetnosti populace;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cévnaté;Aconitum firmum subsp. moravicum;3;;vitalita populace;B;Stav populace;vitalita populace (podíl kvetoucích trsù);;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cévnaté;Aconitum firmum subsp. moravicum;3;;vımìra lokality;B;Stav lokality;vımìra lokality;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cévnaté;Aconitum firmum subsp. moravicum;3;;pøítomnost a pokryvnost expanzních a invazních druhù;B;Stav lokality;pøítomnost a pokryvnost expanzivních a invazních druhù;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
