"POLE","SITECODE","NAZEV","DRUH","FEATURE_CODE","PRESENCE","ROSTLINY","LIKVIDACE","NEGATIV_LIST","NEGATIV","MANAGEMENT","TARGET_MON","OVERALL","SUFFICIENT","EVAL","ID_ND_NALEZ","LAST_TARGET_MON","LAST_FIND"
"6670a","CZ0714085","Morava - Chropyňský luh","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,51304431,NA,2021-08-12
"6872a","CZ0723403","Uhliska","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,45736300,NA,2018-07-21
"6872c","CZ0723403","Uhliska","Phengaris nausithous","6179",1,1,1,"sečení,vysychání (mokřadního ekosystému)",0,1,1,4,0.5,1,50258053,2020-07-24,2020-07-24
"7071c","CZ0724090","Bílé Karpaty","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,46493758,NA,2017-07-23
"7071d","CZ0724090","Bílé Karpaty","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,508040,NA,2004-07-27
"7072b","CZ0724090","Bílé Karpaty","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,51312073,NA,2021-08-19
"7072c","CZ0724090","Bílé Karpaty","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,49936806,NA,2020-08-20
"7072d","CZ0724090","Bílé Karpaty","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,51980168,NA,2021-08-21
"7073a","CZ0724090","Bílé Karpaty","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,49833877,NA,2020-08-08
"7073c","CZ0724090","Bílé Karpaty","Phengaris nausithous","6179",1,1,1,"eutrofizace,vývoj biocenózy, sukcese všeobecně",0,0,1,3,0.5,1,50258113,2020-08-20,2021-08-07
"7171a","CZ0724090","Bílé Karpaty","Phengaris nausithous","6179",1,1,1,"vývoj biocenózy, sukcese všeobecně",0,1,1,4,0.5,1,50258055,2020-08-21,2020-08-21
"7171b","CZ0724090","Bílé Karpaty","Phengaris nausithous","6179",0,1,1,"eutrofizace,sečení",0,NA,1,2,0,0,50258061,2020-08-21,2021-08-07
"7171c","CZ0724090","Bílé Karpaty","Phengaris nausithous","6179",0,1,1,"vysychání (mokřadního ekosystému),vývoj biocenózy, sukcese všeobecně",0,NA,1,2,0,0,50258067,2020-08-20,2006-07-17
"7171d","CZ0724090","Bílé Karpaty","Phengaris nausithous","6179",0,1,1,"vývoj biocenózy, sukcese všeobecně,vysychání (mokřadního ekosystému)",0,NA,1,2,0,0,50258065,2020-08-20,NA
