"SITECODE";"NAZEV";"HABITAT_CODE";"ROZLOHA";"TYPICKE_DRUHY";"REPRE";"REPRE_SDF";"KVALITA_ORIG";"KVALITA";"MINIMIAREAL";"MOZAIKA";"CELISTVOST";"KONEKTIVITA";"RED_LIST";"INVASIVE";"EXPANSIVE";"MRTVE_DREVO";"KALAMITA_POLOM";"RED_LIST_SPECIES";"INVASIVE_LIST";"EXPANSIVE_LIST";"RELATIVE_AREA_PERC";"EVL_AREA_PERC";"W_AREA_HA";"W_AREA_PERC";"VYPLNENOST_TD";"VYPLNENOST_KVALITA";"VYPLNENOST_MD";"PERC_SPAT";"PERC_0";"PERC_1";"PERC_2";"DATE_MIN";"DATE_MAX";"DATE_MEAN";"DATE_MEDIAN"
"CZ0114001";"RadotÌnskÈ ˙dolÌ";"6190";2,1050663503792;7,44028448450068;6,82293229072728;6,17547785015198;10;7,91456918298904;4,21013270075839;10;4,3712969780271;9,30598816474904;10;9,37331106747372;7,6028106264703;NA;NA;"Dracocephalum austriacum, Seseli hippomarathrum, Cotoneaster integerrimus, Centaurea triumfettii subsp. axillaris, Aurinia saxatilis subsp. arduini, Dictamnus albus, Thesium bavarum, Pulsatilla pratensis subsp. bohemica, Asperula tinctoria, Geranium sanguineum, Sorbus danubialis, Inula hirta, Berberis vulgaris, Thlaspi montanum, Saxifraga paniculata, Prunus fruticosa, Helianthemum canum, Clematis recta, Jovibarba globifera, Potentilla arenaria, Galium glaucum, Carex humilis, Stipa capillata, Anemone sylvestris, Lactuca perennis, Juniperus communis, Sorbus aria, Bothriochloa ischaemum, Medicago minima, Erysimum odoratum, Campanula bononiensis";"Pinus nigra";"Crataegus sp., Ligustrum vulgare, Rosa sp.";0,648554721154777;1,92341161398832;0;0;1;1;0;74,8440024762363;0;0;100;2014-06-28;2016-07-15;2014-10-31;2014-08-19
"CZ0114001";"RadotÌnskÈ ˙dolÌ";"91H0";11,0330627332687;9,92567964061143;5,146553065548;6,36149141152948;8,79136810349243;8,79136810349243;3,15230363807678;10;0;9,81958738909043;10;9,75452051569853;9,547755604601;3,94348742139192;0;"Dracocephalum austriacum, Cirsium pannonicum, Asperula tinctoria, Peucedanum oreoselinum, Dactylorhiza sambucina, Monotropa hypopitys, Muscari tenuiflorum, Aphanes arvensis, Aquilegia vulgaris, Clematis recta, Corallorhiza trifida, Chamaecytisus ratisbonensis, Cirsium acaule, Dictamnus albus, Myosotis stenophylla, Platanthera bifolia, Botrychium lunaria, Bothriochloa ischaemum, Thlaspi montanum, Bupleurum longifolium, Quercus pubescens, Gentianella amarella, Gentianopsis ciliata, Crepis foetida subsp. rhoeadifolia, Crepis praemorsa, Melampyrum cristatum, HierochloÎ australis, Populus nigra, Potentilla alba, Potentilla arenaria, Linum austriacum, Linum flavum, Orobanche caryophyllacea, Pyrus pyraster, Erysimum crepidifolium, Erysimum odoratum, Caucalis platycarpos, Centaurea triumfettii subsp. axillaris, Cephalanthera damasonium, Cephalanthera longifolia, Cephalanthera rubra, Geranium sanguineum, Orobanche elatior, Orobanche lutea, Orthilia secunda, Oxytropis pilosa, Prunus fruticosa, Euphorbia angulata, Melica picta, Campanula bononiensis, Epipactis atrorubens, Helianthemum canum, Hieracium bifidum, Medicago minima, Prunella grandiflora, Prunella laciniata, Euphorbia exigua, Aurinia saxatilis subsp. arduini, Berberis vulgaris, Aster amellus, Aster linosyris, Arabis pauciflora, Carduus nutans, Carex humilis, Festuca nigrescens, Festuca pseudovina, Lathyrus pannonicus, Neottia nidus-avis, Ononis repens, Gagea villosa, Gagea minima, Jovibarba globifera, Juniperus communis, Inula hirta, Inula salicina, Iris aphylla, Galium glaucum, Pulmonaria angustifolia, Pulsatilla patens, Pulsatilla pratensis subsp. bohemica, Pyrola minor, Cotoneaster integerrimus, Lactuca perennis, Lactuca viminea, Hieracium bifurcum, Hieracium cymosum, Hieracium echioides, Hieracium schmidtii, Rosa agrestis, Serratula tinctoria, Rosa elliptica, Rosa gallica, Rosa jundzillii, Rubus saxatilis, Scorzonera hispanica, Scrophularia umbrosa, Stipa capillata, Stipa pulcherrima, Teucrium botrys, Thalictrum foetidum, Thalictrum minus, Thesium bavarum, Thesium linophyllon, Vicia pisiformis, Vicia cassubica, Sorbus aria, Stachys germanica, Thymus serpyllum, Saxifraga paniculata, Saxifraga tridactylites, Scabiosa canescens, Verbascum densiflorum, Veronica praecox, Veronica triloba, Trifolium rubens, Trifolium striatum, Viola rupestris, Rhinanthus alectorolophus, Seseli annuum, Seseli hippomarathrum, Silene nemoralis, Silene otites, Antennaria dioica, Anthericum liliago, Allium rotundum, Anagallis foemina, Androsace elongata, Anemone sylvestris, Adonis aestivalis, Aethusa cynapioides, Ajuga chamaepitys, Anthyllis vulneraria subsp. carpatica, Galium mollugo, Stipa pennata, Conringia orientalis";"Galeobdolon argentatum, Pinus nigra, Pinus strobus";"Ligustrum vulgare, Hedera helix, Urtica dioica, Crataegus sp., Prunus spinosa, Rosa sp., Rosa gallica";1,16034464451817;10,0809748800593;0;0;1;1;0,894000882226957;100;0;0;100;2014-10-03;2017-04-23;2015-08-13;2014-11-09
"CZ0114001";"RadotÌnskÈ ˙dolÌ";"6210";5,65913338729255;5,17089679080748;7,43708042541029;5,43866794285486;7,18729078032802;5,33806639702183;2,82956669364627;10;6,4492781728027;9,56290858366288;10;9,98552203763959;9,47079850245321;NA;NA;"Seseli hippomarathrum, Bothriochloa ischaemum, Teucrium botrys, Lactuca perennis, Oxytropis pilosa, Thesium linophyllon, Berberis vulgaris, Carduus nutans, Stipa capillata, Potentilla arenaria, Juniperus communis, Carex humilis, Helianthemum canum, Muscari tenuiflorum, Pulsatilla pratensis subsp. bohemica, Centaurea triumfettii subsp. axillaris, Aster linosyris, Linum austriacum, Cirsium acaule, Cotoneaster integerrimus, Arabis sagittata, Prunus fruticosa, Geranium sanguineum, Galium glaucum, Medicago minima, Jovibarba globifera, Erysimum crepidifolium, Saxifraga tridactylites, Chamaecytisus ratisbonensis, Inula hirta, Campanula bononiensis, Juniperus communis subsp. communis, Dictamnus albus, Stipa pennata, Anthericum liliago, Cephalanthera damasonium, Orobanche lutea";"Arrhenatherum elatius";"Rosa sp., Prunus spinosa, Crataegus sp., Ligustrum vulgare, Rubus sp.";0,0420432250998534;5,17078375238235;0;0;0,889995060387096;1;0;94,9472478676874;0;0;100;2011-08-31;2016-09-01;2015-05-01;2016-03-24
"CZ0210003";"Na pramenech";"7140";2,70083454664342;9,07227362104563;5,49960654863806;6,69049557277392;9,07227362104563;6,04818241403042;1,35041727332171;10;8,07306052376951;7,93580700729905;2,74404852443547;10;10;NA;NA;"Drosera rotundifolia, Dactylorhiza majalis, Potentilla palustris, Epilobium palustre, Menyanthes trifoliata, Pedicularis sylvatica, Salix rosmarinifolia";"NA";"NA";0,0507555586026099;88,9735064889781;0;0;0,907227362104563;1;0;100;0;0;100;2015-07-08;2015-07-08;2015-07-08;2015-07-08
"CZ0210008";"Z·meck˝ park Liblice";"91F0";31,5535895909729;5;5;3,33333333333333;10;6,66666666666667;1,57767947954865;10;10;10;0,947715504710127;10;10;10;0;"Eleocharis quinqueflora, Senecio erucifolius, Aquilegia vulgaris";"NA";"NA";0,129483655686666;93,700205372267;0;0;1;1;1;100;0;100;0;2012-09-05;2012-09-05;2012-09-05;2012-09-05
"CZ0210008";"Z·meck˝ park Liblice";"7230";0,809295582532489;10;10;10;10;10;4,04647791266244;NA;NA;NA;NA;NA;NA;NA;NA;"NA";"NA";"NA";1,65039195049141;2,40324993996426;0;0;1;1;0;0;0;100;0;2012-09-05;2012-09-05;2012-09-05;2012-09-05
"CZ0210010";"Housina";"9170";60,3682769579991;2,09298041945228;4,98962746459731;2,98373359508598;5,26711533433414;3,92502730432851;2,01227589859997;10;0;9,75754312364491;3,30558541718152;9,67422488391787;9,63043292803543;0,0501624537710307;0;"Potentilla alba, Serratula tinctoria, Anthericum liliago, Potentilla arenaria, Aethusa cynapioides, Galeopsis ladanum, Carex humilis, Vicia cassubica, Pyrus pyraster, Erysimum crepidifolium, Vicia pisiformis";"Impatiens parviflora, Arrhenatherum elatius, Juglans regia, Robinia pseudacacia";"Crataegus sp., Ligustrum vulgare, Prunus spinosa, Rosa canina agg., Rosa sp., Rubus fruticosus agg., Sambucus nigra, Urtica dioica, Crataegus monogyna, Rubus caesius, Rubus idaeus";0,0363038668895359;28,5417009262014;0;0;0,813225296823355;1;0,813225296823355;100;0;82,4591290958108;17,5408709041892;2002-09-07;2017-04-20;2008-07-27;2008-07-29
"CZ0210010";"Housina";"91I0";8,28904774351894;2,56701013635679;5;3,33333333333333;5,13402027271358;3,42268018180905;0,552603182901263;10;0;10;0;10;10;0;0;"NA";"NA";"NA";0,12060524912075;3,9190040461669;0;0;1;1;1;100;0;100;0;2008-07-29;2008-08-06;2008-08-02;2008-08-02
"CZ0210010";"Housina";"6210";6,05909453923936;3,36229751309154;7,92235193291189;4,18976629733563;5,50531165494143;4,96449793082675;3,02954726961968;10;5,50159819917807;9,83386517256896;1,47903663178458;9,77000954535711;9,77000954535711;NA;NA;"Potentilla arenaria, Erysimum crepidifolium, Carex humilis, Pulsatilla pratensis subsp. bohemica";"Arrhenatherum elatius";"Rosa sp.";0,0450146441479104;2,86469770112654;0;0;1;1;0;82,3618098447776;0;100;0;2008-07-31;2008-08-06;2008-08-02;2008-07-31
"CZ0210011";"LounÌn";"9170";12,1988682409034;4,99983186254789;9,99966555130435;6,66644309213338;8,57010642377473;5,73099860822491;0,406628941363446;10;0;10;0;10;10;0,688388075202171;0;"NA";"NA";"NA";0,00733607303598983;64,3740282838926;0;0;0,999966555130435;1;0,999966555130435;100;0;0;100;2017-04-23;2017-04-23;2017-04-23;2017-04-23
