"SITECODE","NAZEV","LOKALITA","DRUH","FEATURE_CODE","PRESENCE","PRESENCE_WINTER","ABUNDANCE_SITE","POP_0_ALL","POP_1_ALL","POP_2_ALL","POP_3_ALL","CHANGE","LAST_FIND","OVERALL"
"CZ0214017","Karlštejn - Koda","jeskyně V Kodském polesí","Barbastella barbastellus","1308",1,1,1,60,25,34,40,0,2022-01-31,1
"CZ0214017","Karlštejn - Koda","jeskyně Ve stráni","Barbastella barbastellus","1308",NA,NA,NA,60,25,34,40,NA,2022-02-02,0
"CZ0214017","Karlštejn - Koda","Karlštejn - hradní studna","Barbastella barbastellus","1308",NA,NA,NA,60,25,34,40,NA,2017-01-24,0
"CZ0214017","Karlštejn - Koda","kruhová pec v Tomáškově lomu","Barbastella barbastellus","1308",NA,NA,NA,60,25,34,40,0,2020-01-26,0
"CZ0214017","Karlštejn - Koda","levá štola v lomu Rybízák","Barbastella barbastellus","1308",1,1,1,60,25,34,40,0,2021-02-05,1
"CZ0214017","Karlštejn - Koda","Malá Amerika","Barbastella barbastellus","1308",1,1,8,60,25,34,40,1,2021-02-26,2
"CZ0214017","Karlštejn - Koda","Malá Romanovského štola","Barbastella barbastellus","1308",1,1,3,60,25,34,40,1,2022-02-03,2
"CZ0214017","Karlštejn - Koda","NPR Koda - Kodská jeskyně","Barbastella barbastellus","1308",NA,NA,NA,60,25,34,40,0,2020-01-30,0
"CZ0214017","Karlštejn - Koda","pravá štola v lomu Rybízák","Barbastella barbastellus","1308",NA,NA,NA,60,25,34,40,NA,2022-02-03,0
"CZ0214017","Karlštejn - Koda","propast Amerika II.","Barbastella barbastellus","1308",NA,NA,NA,60,25,34,40,0,2022-02-03,0
"CZ0214017","Karlštejn - Koda","Průtahová štola","Barbastella barbastellus","1308",NA,NA,NA,60,25,34,40,NA,2016-01-30,0
"CZ0214017","Karlštejn - Koda","Romanovského štola","Barbastella barbastellus","1308",1,1,1,60,25,34,40,1,2021-02-02,2
"CZ0214017","Karlštejn - Koda","Rudolfova jeskyně","Barbastella barbastellus","1308",NA,NA,NA,60,25,34,40,NA,2017-01-31,0
"CZ0214017","Karlštejn - Koda","Srbsko u Karlštejna","Barbastella barbastellus","1308",NA,NA,NA,60,25,34,40,NA,2020-08-20,0
"CZ0214017","Karlštejn - Koda","Srbsko u Karlštejna - štola v Petzoldově lomu","Barbastella barbastellus","1308",1,1,1,60,25,34,40,0,2021-01-31,1
"CZ0214017","Karlštejn - Koda","Svážná Rešna","Barbastella barbastellus","1308",1,1,2,60,25,34,40,1,2021-02-02,2
"CZ0214017","Karlštejn - Koda","štola Modlitebna","Barbastella barbastellus","1308",1,1,1,60,25,34,40,0,2022-02-03,1
"CZ0214017","Karlštejn - Koda","Štola v rokli","Barbastella barbastellus","1308",1,1,1,60,25,34,40,0,2021-01-31,1
"CZ0214017","Karlštejn - Koda","štola v Tetínské rokli","Barbastella barbastellus","1308",1,1,1,60,25,34,40,0,2022-01-31,1
