"POLE","SITECODE","NAZEV","DRUH","FEATURE_CODE","PRESENCE","ROSTLINY","LIKVIDACE","NEGATIV","MANAGEMENT","TARGET_MON","OVERALL","LAST_TARGET_MON","LAST_FIND"
"6369a","CZ0714073","Litovelské Pomoraví","Phengaris nausithous","6179",1,0,1,0,1,1,3,2019-07-21,2019-07-30
"6369c","CZ0714073","Litovelské Pomoraví","Phengaris nausithous","6179",1,1,1,0,1,1,4,2019-08-01,2022-07-18
"6569b","CZ0714085","Morava - Chropyňský luh","Phengaris nausithous","6179",0,NA,NA,NA,NA,0,0,NA,NA
"6569d","CZ0714085","Morava - Chropyňský luh","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2014-08-07
"6669b","CZ0714085","Morava - Chropyňský luh","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2014-08-07
"6670a","CZ0714085","Morava - Chropyňský luh","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2021-08-12
"6872a","CZ0723403","Uhliska","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2018-07-21
"6872c","CZ0723403","Uhliska","Phengaris nausithous","6179",1,1,1,0,1,1,4,2020-07-24,2020-07-24
"7071c","CZ0724090","Bílé Karpaty","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2017-07-23
"7071d","CZ0724090","Bílé Karpaty","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2004-07-27
"7072b","CZ0724090","Bílé Karpaty","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2021-08-19
"7072c","CZ0724090","Bílé Karpaty","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2020-08-20
"7072d","CZ0724090","Bílé Karpaty","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2021-08-21
"7073a","CZ0724090","Bílé Karpaty","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2020-08-08
"7073c","CZ0724090","Bílé Karpaty","Phengaris nausithous","6179",1,0,1,0,0,1,2,2020-08-20,2021-08-07
"7171a","CZ0724090","Bílé Karpaty","Phengaris nausithous","6179",1,0,1,0,1,1,3,2020-08-21,2020-08-21
"7171b","CZ0724090","Bílé Karpaty","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,2020-08-21,2021-08-07
"7171c","CZ0724090","Bílé Karpaty","Phengaris nausithous","6179",0,1,1,0,NA,1,2,2020-08-20,2006-07-17
"7171d","CZ0724090","Bílé Karpaty","Phengaris nausithous","6179",0,0,1,0,NA,1,1,2020-08-20,NA
"7172a","CZ0724090","Bílé Karpaty","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2004-08-04
"6072c","CZ0813448","Jakartovice","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,2020-08-14,2021-07-28
"6172a","CZ0813448","Jakartovice","Phengaris nausithous","6179",0,0,1,0,NA,1,1,2020-08-16,2005-07-24
"6174b","CZ0813449","Jilešovice - Děhylov","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2018-07-30
"6175a","CZ0813449","Jilešovice - Děhylov","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2005-07-25
"6175c","CZ0814092","Poodří","Phengaris nausithous","6179",0,0,1,0,NA,1,1,2020-07-28,2006-07-25
"6274d","CZ0814092","Poodří","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2021-02-22
"6275a","CZ0814092","Poodří","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2022-07-28
"6275c","CZ0814092","Poodří","Phengaris nausithous","6179",1,1,1,0,1,1,4,2018-07-20,2019-07-22
"6373b","CZ0814092","Poodří","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2019-07-25
"6373c","CZ0814092","Poodří","Phengaris nausithous","6179",1,0,1,0,0,1,2,2018-07-21,2022-08-02
"6373d","CZ0814092","Poodří","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2022-07-27
"6374a","CZ0814092","Poodří","Phengaris nausithous","6179",1,1,1,0,1,1,4,2018-07-15,2022-08-03
