"EVL_SITECODE","SITECODE","NAZEV","DRUH","PRESENCE_P1a","POP_P1b","REPRO_P2","HABLOS_P3","PRED_P4","WATER_P5","DRY_P6","VEG_P7","TRANSP_P8","CHYTRI_P9","OVERALL","SUFFICIENT"
"CZ0414127","CZ0414127_3","Tocov – Kottershof","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_30","Hradiště rybník pod Valovem","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0414127","CZ0414127_31","Hradiště Bražecký rybník","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0414127","CZ0414127_32","Hradiště Albeřice rybník v pastvinách","Triturus cristatus",1,NA,1,1,1,1,1,NA,1,1,0.5,0
"CZ0414127","CZ0414127_33","Hradiště Horní Albeřický rybník","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_34","Hradiště Hřivínovské pastviny Horní rybník","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0414127","CZ0414127_35","Hradiště Hřivínovské pastviny Prostřední rybník","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0414127","CZ0414127_36","Hradiště Hřivínovské pastviny Dolní rybník","Triturus cristatus",0,0,1,0,1,0,0,0,1,1,0,0
"CZ0414127","CZ0414127_37","Hradiště koupaliště Radošov","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0414127","CZ0414127_38","Hradiště Velký Albeřický rybník","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0414127","CZ0414127_39","Hradiště Malý Albeřický rybník","Triturus cristatus",1,NA,1,1,1,1,1,NA,1,1,0.5,0
"CZ0414127","CZ0414127_4","Kottershof","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_40","Hradiště Lesní Albeřický rybník","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_41","Hradiště Albeřické rybníky tůň D","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_42","Hradiště Zelený rybník","Triturus cristatus",0,0,1,1,1,1,1,NA,1,1,0,0
"CZ0414127","CZ0414127_43","Hradiště Plešivec Spodní rybník","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0414127","CZ0414127_44","Hradiště Plešivec Horní rybník","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0414127","CZ0414127_45","Hradiště Dlouhá spodní rybník","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0
"CZ0414127","CZ0414127_46","Hradiště Dlouhá kaluž pod hrází","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0
"CZ0414127","CZ0414127_47","Dlouhá rybníček B","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0414127","CZ0414127_48","Hradiště Dlouhá rybníček C","Triturus cristatus",0,0,1,0,0,0,0,0,1,1,0,0
"CZ0414127","CZ0414127_49","Hradiště Dlouhá rybníček D","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0
"CZ0414127","CZ0414127_5","Tocov","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0414127","CZ0414127_50","Hradiště Dlouhá rybníček E","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0
"CZ0414127","CZ0414127_51","Hradiště Tišina horní","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0414127","CZ0414127_52","Hradiště Tišina spodní","Triturus cristatus",1,NA,1,1,1,0,1,1,1,1,0.5,0
"CZ0414127","CZ0414127_53","Hradiště Pod Tišinami","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_54","Hradiště tůň u lesa","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_55","Hradiště Dlouhá tůň v louce","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_56","Hradiště tůň v okopu","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0414127","CZ0414127_57","Hradiště Dlouhá zastíněná tůň","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0414127","CZ0414127_58","Hradiště Dlouhá horská tůň","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_59","Hradiště Pustý zámek A","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_6","Vysoká – odbočka na Složiště","Triturus cristatus",0,0,1,1,0,1,1,0,1,1,0,0
"CZ0414127","CZ0414127_60","Hradiště Pustý zámek B","Triturus cristatus",0,0,1,1,0,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_61","Hradiště rybník u Doupova II","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_62","Hradiště rybník u Doupova III","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_63","Hradiště Doupov okop","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0
"CZ0414127","CZ0414127_64","Hradiště Doupov tanková kaluž 1","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_65","Hradiště Doupov tanková kaluž 2","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0414127","CZ0414127_66","Hradiště Kopáčov tůň","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0414127","CZ0414127_67","Hradiště Albeřický lom","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0414127","CZ0414127_68","Hradiště Pustý zámek C","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0414127","CZ0414127_69","Hradiště Pustý zámek D","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0414127","CZ0414127_7","Nový dvůr – rybník","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_70","Hradiště Lochotín rybník","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_71","Hradiště Nový rybník","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_72","Hradiště tůň u Nového rybníka","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0414127","CZ0414127_73","Hradiště Kopáčov rybník","Triturus cristatus",1,NA,1,1,1,0,1,1,1,1,0.5,0
"CZ0414127","CZ0414127_74","Hradiště vrbová tůň u Jeseně","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0414127","CZ0414127_75","Hradiště Jeseň nádrž v obci","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0
"CZ0414127","CZ0414127_76","Hradiště Jeseň rybník","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_77","Hradiště Bukovina tůňka","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_78","Hradiště Bukovina oplocené rybníky","Triturus cristatus",0,0,1,1,1,1,1,NA,1,1,0,0
"CZ0414127","CZ0414127_79","Hradiště Bukovina rybník u Lesky","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0414127","CZ0414127_8","Nový dvůr – strouha","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_80","Hradiště Bukovina horní tůň","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_81","Hradiště Bukovina střední tůň","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0414127","CZ0414127_82","Hradiště Bukovina spodní tůň","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_83","Hradiště kaluže na tankové cestě Mětikalov - Tureč","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0414127","CZ0414127_84","Hradiště kaluže na tankové cestě Mětikalov","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_85","Hradiště Mětikalov rybnik","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0
"CZ0414127","CZ0414127_86","Hradiště Činovský rybník","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_87","Hradiště Albeřické rybníky tůň E","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_88","Hradiště Albeřické rybníky tůň F","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0414127","CZ0414127_89","Hradiště Albeřické rybníky tůň G","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0414127","CZ0414127_9","Litoltov I. – tůň","Triturus cristatus",0,0,1,0,0,0,0,0,1,1,0,0
"CZ0414127","CZ0414127_90","Hradiště Albeřické rybníky tůň CH","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
