"EVL_SITECODE","SITECODE","NAZEV","DRUH","PRESENCE","POP","HABLOS","PRED","TRANSP","REPRO","WATER","DRY","VEG","OVERALL","SUFFICIENT"
"amp43","amp43d","Horni Farsky","Bombina bombina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp43","amp43e","Drclavek","Bombina bombina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp43","amp43f","Dolni Rohovec","Bombina bombina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp43","amp43g","Horní Rohovec","Bombina bombina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp43","amp43h","Kukla","Bombina bombina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp43","amp43i","Prostřední Farský","Bombina bombina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp43","amp43j","Dolní Farský","Bombina bombina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp45","amp45","Luží u Lovětína","Bombina bombina",1,NA,1,1,1,1,1,1,1,NA,NA
"amp51","amp51","Planinský rybník a Kozor","Bombina bombina",1,1,0,0,1,NA,0,1,NA,NA,NA
"amp71","amp71","Osek - Labutinka","Bombina bombina",0,0,1,1,1,1,1,1,NA,0,0
"amp78","amp78","Telecske r.","Bombina bombina",1,1,1,1,1,1,1,1,1,1,1
"amp8","amp8","Kalspot","Bombina bombina",1,1,1,1,1,1,1,1,1,1,1
"amp81","amp81","Albericky rybník","Bombina bombina",1,1,1,1,1,1,1,1,0,0.5,0
"CZ0214009","CZ0214009_1","EVL Libické luhy","Bombina bombina",0,0,0,1,1,1,1,1,0,0,0
"CZ0214009","CZ0214009_2","EVL Libické luhy","Bombina bombina",0,0,0,1,0,1,1,1,0,0,0
"CZ0214009","CZ0214009_3","EVL Libické luhy, tůň ve Veltrubském luhu","Bombina bombina",1,0,0,1,1,1,1,1,0,0.5,0
"CZ0313116","CZ0313116","Radomilická mokřina","Bombina bombina",1,1,1,1,1,1,1,1,0,0.5,0
"CZ0313134","CZ0313134","Újezdec","Bombina bombina",1,1,1,0,NA,1,1,1,1,NA,NA
"CZ0323158","CZ0323158","Osek - Labutinka","Bombina bombina",1,NA,1,1,NA,1,1,1,NA,NA,NA
"CZ0423216","CZ0423216_10","K275+K176","Bombina bombina",1,NA,0,0,0,1,1,1,1,NA,NA
"CZ0423216","CZ0423216_11","K312+K135","Bombina bombina",1,NA,1,0,NA,1,1,1,NA,NA,NA
"CZ0423216","CZ0423216_12","K008","Bombina bombina",1,NA,1,0,NA,1,1,1,NA,NA,NA
"CZ0423216","CZ0423216_13","K016","Bombina bombina",1,NA,1,0,NA,1,1,1,NA,NA,NA
"CZ0423216","CZ0423216_14","K051","Bombina bombina",1,NA,1,0,NA,1,1,1,NA,NA,NA
"CZ0423216","CZ0423216_15","K063+K064","Bombina bombina",1,NA,0,1,NA,1,1,1,NA,NA,NA
"CZ0423216","CZ0423216_16","K075+K076","Bombina bombina",1,NA,0,0,NA,1,1,1,NA,NA,NA
"CZ0423216","CZ0423216_17","K123","Bombina bombina",1,NA,0,1,NA,1,1,1,NA,NA,NA
"CZ0423216","CZ0423216_18","K138","Bombina bombina",1,NA,0,1,NA,1,1,1,NA,NA,NA
"CZ0423216","CZ0423216_19","K144","Bombina bombina",1,NA,1,0,NA,1,1,1,NA,NA,NA
"CZ0423216","CZ0423216_2","K049","Bombina bombina",1,NA,1,1,NA,1,1,1,NA,NA,NA
"CZ0423216","CZ0423216_20","K145+K146","Bombina bombina",1,NA,1,0,NA,1,1,1,NA,NA,NA
"CZ0423216","CZ0423216_21","K216+K217","Bombina bombina",1,NA,1,0,NA,1,1,1,NA,NA,NA
"CZ0423216","CZ0423216_22","K220","Bombina bombina",1,NA,1,0,NA,1,1,1,NA,NA,NA
"CZ0423216","CZ0423216_23","K227","Bombina bombina",1,NA,1,0,NA,1,1,1,NA,NA,NA
"CZ0423216","CZ0423216_24","K305","Bombina bombina",1,NA,1,0,NA,1,1,1,NA,NA,NA
"CZ0423216","CZ0423216_3","K229","Bombina bombina",1,NA,1,1,NA,1,0,1,NA,NA,NA
"CZ0423216","CZ0423216_4","K066","Bombina bombina",1,NA,1,1,NA,1,1,1,NA,NA,NA
"CZ0423216","CZ0423216_8","K234","Bombina bombina",1,NA,0,1,NA,1,1,1,NA,NA,NA
"CZ0423216","CZ0423216_9","K254","Bombina bombina",1,NA,1,0,NA,1,1,1,NA,NA,NA
"CZ0423228","CZ0423228","Strádovský rybník","Bombina bombina",0,0,1,0,1,1,1,1,0,0,0
"CZ0513237","CZ0513237","Česká Lípa - mokřad v nivě Šporky","Bombina bombina",1,1,1,1,NA,1,1,1,NA,NA,NA
"CZ0513244","CZ0513244","Manušické rybníky","Bombina bombina",1,1,1,1,NA,1,1,1,NA,NA,NA
"CZ0513244","CZ0513244_110","Manušické rybníky","Bombina bombina",1,NA,1,1,NA,1,1,1,NA,NA,NA
"CZ0513257","CZ0513257","Stružnické rybníky","Bombina bombina",1,0,1,0,NA,1,1,1,NA,NA,NA
"CZ0523268","CZ0523268","Dubno - Česká Skalice","Bombina bombina",1,1,1,1,1,1,1,1,0,0.5,0
"CZ0533696","CZ0533696","Kochánovické rybníky a tůně","Bombina bombina",1,1,1,0,1,1,1,1,0,0.5,0
"CZ0623348","CZ0623348","Jankovec","Bombina bombina",1,1,1,1,1,1,1,1,1,1,1
"CZ0623367","CZ0623367","U Huberta","Bombina bombina",1,NA,1,1,NA,1,1,1,1,NA,NA
"CZ0623772","CZ0623772","Božický mokřad","Bombina bombina",1,NA,1,1,NA,1,1,1,NA,NA,NA
"CZ0713394","CZ0713394_1","Nové tůně","Bombina bombina",0,0,1,1,NA,1,1,1,NA,0,0
"CZ0713394","CZ0713394_2","Nad Horním Svrčovem","Bombina bombina",0,0,1,0,NA,1,1,1,NA,0,0
"CZ0713394","CZ0713394_3","Horní Svrčov","Bombina bombina",0,0,1,0,NA,1,1,1,NA,0,0
"CZ0713394","CZ0713394_4","Prostřední Svrčov","Bombina bombina",0,0,1,0,NA,1,1,1,NA,0,0
"CZ0713394","CZ0713394_5","Dolní Svrčov","Bombina bombina",0,0,1,0,NA,1,1,1,NA,0,0
"CZ0723413","CZ0723413","Ovčírka","Bombina bombina",1,NA,1,0,1,1,1,1,0,NA,NA
"CZ0813439","CZ0813439_1","EVL Děhylovský potok-Štěpán, Bezedná tůň","Bombina bombina",0,0,0,0,NA,1,1,1,NA,0,0
"CZ0813439","CZ0813439_2","EVL Děhylovský potok-Štěpán, rybník Štěpán","Bombina bombina",0,0,1,1,NA,1,1,1,NA,0,0
"CZ0813439","CZ0813439_3","EVL Děhylovský potok-Štěpán, tůň na Žabinci","Bombina bombina",0,0,0,1,NA,1,1,1,NA,0,0
"CZ0813439","CZ0813439_4","EVL Děhylovský potok - Štěpán, Žabinec","Bombina bombina",1,NA,0,1,NA,1,1,1,NA,NA,NA
"amp12","amp12","Skočová","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp204","amp204","Velké Kunětice - pískovna
","Bombina variegata",1,NA,1,1,NA,1,1,1,NA,NA,NA
"amp207","amp207","Písečná - mokřad
","Bombina variegata",1,NA,1,1,NA,1,0,1,NA,NA,NA
"amp208","amp208","Libavá","Bombina variegata",1,NA,0,1,NA,1,1,1,NA,NA,NA
"amp209","amp209","Vidnava - kaolinový lom
","Bombina variegata",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp210","amp210","Mikulovice - tůně u lesa
","Bombina variegata",1,NA,1,1,NA,1,1,1,NA,NA,NA
"amp219","amp219","Dušná u červených","Bombina variegata",0,NA,1,1,0,1,1,1,1,0,0
"amp220","amp220","Tůně Babská","Bombina variegata",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp222","amp222","Slovačica","Bombina variegata",1,NA,1,1,0,1,1,1,1,NA,NA
"amp233","amp233","Ptáčnice - u jezera","Bombina variegata",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp24","amp24","Hrachoviště","Bombina variegata",1,NA,1,1,0,1,1,1,0,NA,NA
"amp244","amp244","Věřňovice","Bombina variegata",1,NA,1,1,NA,1,0,1,0,NA,NA
"amp245","amp245","Staré hliniště","Bombina variegata",0,NA,1,1,NA,1,1,1,1,0,0
"amp264","amp264","Tůň Mezivodí","Bombina variegata",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp270","amp270/a","Smržovice - lom - prameniště pod stěnou","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp270","amp270/b","Smržovice - lom - tůň pod dopravníkem","Bombina variegata",1,NA,1,1,NA,1,1,1,NA,NA,NA
"amp270","amp270/c","Smržovice - lom - louže na dně","Bombina variegata",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp270","amp270/d","Smržovice - lom - tůň pod stěnou","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp270","amp270/e","Smržovice - lom - tůň na konci dopravníku","Bombina variegata",1,NA,1,1,0,1,1,1,1,NA,NA
"amp330","amp330","VVP Boletice - Třebovice","Bombina variegata",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp331","amp331","VVP Boletice - Podvoří","Bombina variegata",1,NA,0,1,NA,1,1,1,1,NA,NA
"amp35","amp35","Kalubice-pískovna","Bombina variegata",0,NA,1,1,NA,1,1,1,1,0,0
"amp44","amp44","Omlenička","Bombina variegata",0,NA,1,1,NA,1,1,1,0,0,0
"amp58","amp58","Přeštice - cihelna","Bombina variegata",1,NA,1,1,NA,1,1,1,NA,NA,NA
"amp61","amp61","Kyšice","Bombina variegata",1,NA,1,1,NA,1,0,1,0,NA,NA
"amp62","amp62/c","Podhájí - tůně na severu - východ - malá","Bombina variegata",1,NA,1,1,0,1,1,1,1,NA,NA
"amp62","amp62/d","Podhájí - tůně na severu - JZ","Bombina variegata",1,NA,1,1,0,1,1,1,0,NA,NA
"amp62","amp62/g","Podhájí - tůně na severu - střední","Bombina variegata",1,NA,1,1,0,1,1,1,1,NA,NA
"amp62","amp62/j","Podhájí - kanál - V","Bombina variegata",1,NA,1,1,0,1,1,1,0,NA,NA
"amp62","amp62/r","Podhájí - kolej u potoka - S od kanálu","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp62","amp62/u","Podhájí - koleje u kraje pole 30 m od S","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp62","amp62/v","Podhájí - kanál střed","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp62","amp62/w","Podhájí - slepé rameno","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
