"SITECODE","NAZEV","LOKALITA","DRUH","FEATURE_CODE","PRESENCE","PRESENCE_WINTER","ABUNDANCE_SITE","POP_0_ALL","POP_1_ALL","POP_2_ALL","POP_3_ALL","CHANGE","LAST_FIND","OVERALL"
"CZ0314024","Šumava","Červená 18, 341 92 Kašperské Hory, Česko","Rhinolophus hipposideros","1303",NA,NA,NA,0,0,0,0,NA,2017-11-11,0
"CZ0314024","Šumava","Chalupa v osadě Jirkalov (k. ú. Stachy).","Rhinolophus hipposideros","1303",NA,NA,NA,0,0,0,0,NA,2018-09-28,0
"CZ0314024","Šumava","Klatovy, Krkonošská národní park, CZ-PK, CZ","Rhinolophus hipposideros","1303",NA,NA,NA,0,0,0,0,NA,2017-11-11,0
"CZ0314024","Šumava","Stachy (Jirkalov)","Rhinolophus hipposideros","1303",NA,NA,NA,0,0,0,0,NA,2017-09-28,0
"CZ0314124","Blanský les","Jamné - 3 štoly v údolí Vltavy","Myotis myotis","1324",NA,NA,NA,0,0,6,6,NA,2020-01-20,0
"CZ0314124","Blanský les","Třísov - štola","Myotis myotis","1324",NA,NA,NA,0,0,6,6,NA,2020-01-20,0
"CZ0314634","Chýnovská jeskyně","Chýnovská jeskyně","Myotis myotis","1324",NA,NA,NA,0,0,32,35,NA,2020-02-05,0
"CZ0323636","Dolany - kostel","Dolany","Myotis myotis","1324",NA,NA,NA,0,0,612,614,NA,2020-07-08,0
"CZ0323637","Štola Rohatiny I","Kočín - štola","Myotis myotis","1324",NA,NA,NA,0,0,0,0,NA,2018-02-02,0
"CZ0323638","Jeskyně Inků","Výškovice - štola Jeskyně Inků","Barbastella barbastellus","1308",NA,NA,NA,0,5,6,4,0,2021-01-28,0
"CZ0323639","Liblín - lihovar","EVL Liblín - lihovar","Myotis myotis","1324",NA,NA,NA,0,0,127,114,NA,2020-07-08,0
"CZ0323639","Liblín - lihovar","Liblín - sklepy lihovaru","Myotis myotis","1324",NA,NA,NA,0,0,127,114,NA,2018-02-01,0
"CZ0323640","Manětín - kostel","Manětín","Myotis myotis","1324",NA,NA,NA,0,0,2174,2115,NA,2020-07-08,0
"CZ0323642","Radnice - kostel","Radnice u Rokycan","Myotis myotis","1324",NA,NA,NA,0,0,431,381,NA,2020-07-08,0
"CZ0323645","Štola Věra","EVL Štola Věra","Myotis myotis","1324",NA,NA,NA,0,23,7,8,0,2021-01-28,0
"CZ0323646","Stříbro - štoly Dlouhý tah","Stříbro - štola Dlouhý tah","Barbastella barbastellus","1308",NA,NA,NA,0,0,0,0,NA,2018-01-30,0
"CZ0323647","Všeruby - kostel","Všeruby u Plzně","Myotis myotis","1324",NA,NA,NA,0,0,117,145,NA,2020-07-08,0
"CZ0414110","Krušnohorské plató","Hřebečná - Bludná - Wildbahner","Myotis myotis","1324",NA,NA,NA,0,182,300,386,0,2021-02-10,0
"CZ0414110","Krušnohorské plató","Hřebečná - štola Kryštof (spojeno s Mauricius)","Myotis myotis","1324",NA,NA,NA,0,182,300,386,0,2021-02-11,0
"CZ0414110","Krušnohorské plató","Hřebečná, Mauritius - dolní jáma","Myotis myotis","1324",NA,NA,NA,0,182,300,386,0,2021-09-03,0
"CZ0414110","Krušnohorské plató","Hřebečná, Mauritius - horní jáma","Myotis myotis","1324",NA,NA,NA,0,182,300,386,0,2021-09-03,0
"CZ0414110","Krušnohorské plató","Mauricius - důl","Myotis myotis","1324",NA,NA,NA,0,182,300,386,NA,2020-03-07,0
"CZ0414110","Krušnohorské plató","Potůčky - Bludná - Zuzana","Myotis myotis","1324",NA,NA,NA,0,182,300,386,0,2021-02-10,0
"CZ0414110","Krušnohorské plató","Potůčky - štola Boží požehnání","Myotis myotis","1324",NA,NA,NA,0,182,300,386,0,2021-02-10,0
"CZ0414110","Krušnohorské plató","Ryžovna - Gottlib","Myotis myotis","1324",NA,NA,NA,0,182,300,386,0,2021-02-09,0
"CZ0414110","Krušnohorské plató","Ryžovna - Kohlreuter","Myotis myotis","1324",NA,NA,NA,0,182,300,386,0,2021-02-09,0
"CZ0414110","Krušnohorské plató","Ryžovna - štola Dolní Michael","Myotis myotis","1324",NA,NA,NA,0,182,300,386,0,2021-02-09,0
"CZ0414110","Krušnohorské plató","Ryžovna - štola Kapsa","Myotis myotis","1324",NA,NA,NA,0,182,300,386,NA,2020-02-21,0
"CZ0414110","Krušnohorské plató","Ryžovna - štola Tetřeví výduch","Myotis myotis","1324",NA,NA,NA,0,182,300,386,0,2021-02-09,0
"CZ0414110","Krušnohorské plató","Ryžovna - štola u Černé","Myotis myotis","1324",NA,NA,NA,0,182,300,386,0,2021-02-09,0
"CZ0414110","Krušnohorské plató","Ryžovna - štola Zlatokopecká","Myotis myotis","1324",NA,NA,NA,0,182,300,386,0,2021-02-09,0
"CZ0414110","Krušnohorské plató","Ryžovna - Zlatý Kopec - štola Dolní Perníková","Myotis myotis","1324",NA,NA,NA,0,182,300,386,NA,2018-01-31,0
"CZ0414110","Krušnohorské plató","Ryžovna - Zlatý Kopec - štola Ementál","Myotis myotis","1324",NA,NA,NA,0,182,300,386,0,2021-02-09,0
"CZ0414110","Krušnohorské plató","Ryžovna - Zlatý Kopec - štola Horní Perníková","Myotis myotis","1324",NA,NA,NA,0,182,300,386,NA,2019-02-11,0
"CZ0414110","Krušnohorské plató","Ryžovna - Zlatý Kopec - štola Rezonanční","Myotis myotis","1324",NA,NA,NA,0,182,300,386,0,2021-02-09,0
"CZ0414110","Krušnohorské plató","Zlatý kopec - štola Gottlib (Johannis)","Myotis myotis","1324",NA,NA,NA,0,182,300,386,0,2021-09-04,0
"CZ0414110","Krušnohorské plató","Zlatý Kopec, Johannes - dolní jáma","Myotis myotis","1324",NA,NA,NA,0,182,300,386,0,2021-09-04,0
"CZ0423651","Držovice - rodinný dům","Držovice dům - č.p. 13 EVL","Myotis myotis","1324",NA,NA,NA,0,0,0,0,NA,2018-06-12,0
"CZ0423654","Lobendava - kostel","Lobendava - kostel","Myotis myotis","1324",NA,NA,NA,0,0,0,1300,NA,2019-07-05,0
"CZ0423656","Úštěk - kostel","Úštěk kostel - nám. Míru 1 EVL","Myotis myotis","1324",NA,NA,NA,0,0,1087,998,NA,2020-07-05,0
"CZ0424125","Doupovské hory","Černýš - Lužný","Barbastella barbastellus","1308",NA,NA,NA,0,85,48,52,NA,2017-01-21,0
"CZ0424125","Doupovské hory","Doupov, Lestkov - SV svahy Černého vrchu","Barbastella barbastellus","1308",NA,NA,NA,0,85,48,52,NA,2017-08-23,0
"CZ0424125","Doupovské hory","Doupov, Mašťov - pod Radechovskými skalami","Barbastella barbastellus","1308",NA,NA,NA,0,85,48,52,NA,2017-06-11,0
"CZ0424125","Doupovské hory","Doupov, Mašťov - u potoka Dubá","Barbastella barbastellus","1308",NA,NA,NA,0,85,48,52,NA,2017-06-11,0
"CZ0424125","Doupovské hory","Doupov, Radonice - údolí Dubé","Barbastella barbastellus","1308",NA,NA,NA,0,85,48,52,NA,2017-06-11,0
"CZ0424125","Doupovské hory","Horní Hrad - Nebesa","Barbastella barbastellus","1308",NA,NA,NA,0,85,48,52,NA,2020-07-14,0
"CZ0424125","Doupovské hory","Klášterec nad Ohří - Šumburk - zřícenina hradu","Barbastella barbastellus","1308",NA,NA,NA,0,85,48,52,NA,2018-02-19,0
