SITECODE;HABITAT_CODE;ROZLOHA_PASEKY;ROZLOHA_HOLINY;POCET_SEGMENTU_PASEKY
CZ0214005;6410;NA;NA;NA
CZ0214005;9170;0,068629066;0;2
CZ0214005;6510;NA;NA;NA
CZ0214005;9180;0;0;0
CZ0214005;9,10E+01;0,000317062;0;2
CZ0214005;6430;NA;NA;NA
CZ0214006;9170;0,006674201;0;4
CZ0214006;4030;NA;NA;NA
CZ0214006;6510;NA;NA;NA
CZ0214006;2330;NA;NA;NA
CZ0214006;6210;NA;NA;NA
CZ0214006;9190;9,95E-05;0;7
CZ0214007;9170;0;0;0
CZ0214007;6510;NA;NA;NA
CZ0214007;6440;NA;NA;NA
CZ0214007;3150;NA;NA;NA
CZ0214007;9,10E+01;0;0;0
CZ0214007;91F0;0;0;0
CZ0214007;7230;NA;NA;NA
CZ0214008;9130;14,10293527;7,914798827;42
CZ0214008;9110;9,95626095;3,208760837;25
CZ0214008;9170;9,475737534;4,692613138;34
CZ0214008;9180;0,336183264;0;14
CZ0214008;8230;NA;NA;NA
CZ0214008;9190;0,061295829;0;3
CZ0214009;6510;NA;NA;NA
CZ0214009;6440;NA;NA;NA
CZ0214009;3150;NA;NA;NA
CZ0214009;91F0;9,482613397;1,239677345;24
CZ0214009;6430;NA;NA;NA
CZ0214011;9130;7,001623555;2,057071386;37
CZ0214011;9110;3,432170722;0;16
CZ0214011;9170;2,281375523;1,328188352;18
CZ0214011;6510;NA;NA;NA
CZ0214011;8220;NA;NA;NA
CZ0214011;40A0;NA;NA;NA
CZ0214011;9180;0,192546826;0;15
CZ0214011;6190;NA;NA;NA
CZ0214011;9,10E+01;2,38E-09;0;1
CZ0214011;8150;NA;NA;NA
CZ0214012;8310;NA;NA;NA
CZ0214013;6410;NA;NA;NA
CZ0214013;9110;26,69820085;1,377368186;182
CZ0214013;6510;NA;NA;NA
CZ0214013;8220;NA;NA;NA
CZ0214013;8310;NA;NA;NA
CZ0214013;8230;NA;NA;NA
CZ0214013;6210;NA;NA;NA
CZ0214013;9,10E+01;0,239891821;0;6
CZ0214013;3140;NA;NA;NA
CZ0214013;7210;NA;NA;NA
CZ0214013;6430;NA;NA;NA
CZ0214013;7230;NA;NA;NA
CZ0214014;3130;NA;NA;NA
CZ0214014;7140;NA;NA;NA
CZ0214014;3150;NA;NA;NA
CZ0214015;9130;0,040661544;0;1
CZ0214015;9170;0,641131994;0;3
CZ0214015;91I0;0;0;0
CZ0214015;8220;NA;NA;NA
CZ0214015;9180;0,013753128;0;1
CZ0214015;9,10E+01;6,04E-09;0;1
CZ0214015;8150;NA;NA;NA
CZ0214017;3270;NA;NA;NA
CZ0214017;9170;8,492848885;0;42
CZ0214017;91I0;0,178616891;0;1
CZ0214017;5130;NA;NA;NA
CZ0214017;8210;NA;NA;NA
CZ0214017;8310;NA;NA;NA
CZ0214017;40A0;NA;NA;NA
CZ0214017;9180;1,170671983;1,128090013;4
CZ0214017;3260;NA;NA;NA
CZ0214017;6190;NA;NA;NA
CZ0214017;91H0;0,145321355;0;5
CZ0214017;7220;NA;NA;NA
CZ0214017;6210;NA;NA;NA
CZ0214017;6210p;NA;NA;NA
CZ0214017;9150;3,435990307;1,974894258;11
CZ0214017;6110;NA;NA;NA
CZ0214017;8160;NA;NA;NA
CZ0214025;8310;NA;NA;NA
CZ0214037;8310;NA;NA;NA
CZ0214037;6190;NA;NA;NA
CZ0214037;6210;NA;NA;NA
CZ0214037;6110;NA;NA;NA
CZ0214041;6410;NA;NA;NA
CZ0214041;6510;NA;NA;NA
CZ0214041;9,10E+01;0,290656167;0;7
CZ0214041;6430;NA;NA;NA
CZ0214042;9410;15,918825;11,01688398;29
CZ0214042;6410;NA;NA;NA
CZ0214042;9130;0;0;0
CZ0214042;9110;2,250681718;1,972620279;4
CZ0214042;6230;NA;NA;NA
CZ0214042;4030;NA;NA;NA
CZ0214042;6510;NA;NA;NA
CZ0214042;8220;NA;NA;NA
CZ0214042;7140;NA;NA;NA
CZ0214042;3150;NA;NA;NA
CZ0214042;91D0;0,644817252;0;9
CZ0214042;6430;NA;NA;NA
CZ0214043;6410;NA;NA;NA
CZ0214043;7230;NA;NA;NA
CZ0214044;6410;NA;NA;NA
CZ0214044;9170;0,859776191;0;6
CZ0214044;6510;NA;NA;NA
CZ0214044;9190;2,656425929;0;10
CZ0214045;7140;NA;NA;NA
CZ0214045;3150;NA;NA;NA
CZ0214045;9,10E+01;0;0;0
CZ0214046;3130;NA;NA;NA
CZ0214047;4030;NA;NA;NA
CZ0214047;7140;NA;NA;NA
CZ0214047;91D0;0;0;1
CZ0214049;2330;NA;NA;NA
CZ0214050;6410;NA;NA;NA
CZ0214050;91I0;1,190403199;0;3
CZ0214050;6510;NA;NA;NA
CZ0214050;6440;NA;NA;NA
CZ0214050;91H0;0;0;1
CZ0214050;6210;NA;NA;NA
CZ0214050;6210p;NA;NA;NA
CZ0214050;3150;NA;NA;NA
CZ0214050;7230;NA;NA;NA
CZ0310001;9130;0,000440303;0;1
CZ0310001;9110;1,217562467;0;10
CZ0310008;3150;NA;NA;NA
CZ0310009;3150;NA;NA;NA
CZ0310010;6410;NA;NA;NA
CZ0310014;9130;0;0;0
CZ0310014;9110;0;0;0
CZ0310014;9180;0;0;0
CZ0310017;9410;5,492469688;2,25347263;13
CZ0310017;7120;NA;NA;NA
CZ0310017;7140;NA;NA;NA
CZ0310017;3150;NA;NA;NA
CZ0310017;91D0;0,000822663;0;1
CZ0310017;9,10E+01;0,435457916;0;4
CZ0310017;6430;NA;NA;NA
CZ0310019;3130;NA;NA;NA
CZ0310019;3150;NA;NA;NA
CZ0310020;9110;0;0;0
CZ0310022;8220;NA;NA;NA
CZ0310032;8220;NA;NA;NA
CZ0310032;3260;NA;NA;NA
CZ0310033;9170;0,250270645;0;1
CZ0310033;8220;NA;NA;NA
CZ0310033;9180;0,375657017;0;4
CZ0310035;3260;NA;NA;NA
CZ0310035;3150;NA;NA;NA
CZ0310057;9410;1,312204964;0;4
CZ0310057;7110;NA;NA;NA
CZ0310057;6230;NA;NA;NA
CZ0310057;7140;NA;NA;NA
CZ0310057;91D0;0,149654065;0;1
CZ0310063;6110;NA;NA;NA
CZ0310067;91U0;0,072121759;0;1
CZ0310070;5130;NA;NA;NA
CZ0310073;3130;NA;NA;NA
CZ0310074;3130;NA;NA;NA
