"SITECODE","NAZEV","FEATURE_CODE","DRUH","PRESENCE","PRESENCE_WINTER","ABUNDANCE","CHANGE_SITES","CHANGE_NUM","CHANGE_ALL","OVERALL","SUFFICIENT","LAST_FIND"
"CZ0624065","Květnice","1303","Rhinolophus hipposideros",NA,NA,0,0,0,0,0,NA,2020-02-15
"CZ0624070","Hodonínská doubrava","1308","Barbastella barbastellus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0624070","Hodonínská doubrava","1323","Myotis bechsteinii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0624095","Údolí Dyje","1324","Myotis myotis",NA,NA,0,0,0,0,0,NA,2020-07-01
"CZ0624096","Podyjí","1308","Barbastella barbastellus",NA,NA,0,0,0,0,0,NA,2020-01-20
"CZ0624096","Podyjí","1323","Myotis bechsteinii",NA,NA,0,NA,NA,NA,0,NA,2019-02-01
"CZ0624096","Podyjí","1303","Rhinolophus hipposideros",NA,NA,0,0,0,0,0,NA,2020-07-03
"CZ0624098","Turold","1303","Rhinolophus hipposideros",NA,NA,0,0,0,0,0,NA,2020-01-15
"CZ0624099","Niva Dyje","1303","Rhinolophus hipposideros",NA,NA,0,0,0,0,0,NA,2020-01-15
"CZ0624100","Milovický les","1308","Barbastella barbastellus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0624100","Milovický les","1323","Myotis bechsteinii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0624104","Děvín","1308","Barbastella barbastellus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0624104","Děvín","1323","Myotis bechsteinii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0624106","Tvořihrázský les","1308","Barbastella barbastellus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0624130","Moravský kras","1321","Myotis emarginatus",1,1,450,NA,0.697674418604651,1,0.25,1,2022-02-23
"CZ0624130","Moravský kras","1308","Barbastella barbastellus",1,1,124,0.08,1.58974358974359,1,0.333333333333333,1,2022-03-11
"CZ0624130","Moravský kras","1323","Myotis bechsteinii",1,1,11,NA,1.57142857142857,NA,0.333333333333333,1,2022-02-07
"CZ0624130","Moravský kras","1324","Myotis myotis",1,1,1346,0.0779220779220779,0.346104397017228,0,0.318181818181818,0.5,2022-03-11
"CZ0624130","Moravský kras","1303","Rhinolophus hipposideros",1,1,4799,0.0930232558139535,0.647288912867548,1,0.292993630573248,1,2022-03-07
"CZ0713526","Velká Střelná - štoly","1321","Myotis emarginatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0713526","Velká Střelná - štoly","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0713720","Bílá Lhota","1324","Myotis myotis",NA,NA,0,0,0,0,0,NA,2020-07-17
"CZ0713722","Branná - hrad","1303","Rhinolophus hipposideros",1,1,44,0.5,0.297297297297297,0,1,0.5,2021-06-02
"CZ0713723","Čechy pod Kosířem","1303","Rhinolophus hipposideros",NA,NA,0,NA,NA,NA,0,NA,2020-07-08
"CZ0713724","Černá Voda - kostel","1303","Rhinolophus hipposideros",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0713725","Černá Voda - kulturní dům","1321","Myotis emarginatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0713726","Hanušovice - kostel","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0713728","Chudobín","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0713730","Na Špičáku","1303","Rhinolophus hipposideros",NA,NA,0,0,0,0,0,NA,2020-01-24
"CZ0713734","Libina - U Černušků","1321","Myotis emarginatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0713735","Lipová-lázně - mateřská školka","1303","Rhinolophus hipposideros",1,1,4,0,Inf,1,1,1,2021-08-02
"CZ0713736","Otaslavice - kostel","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0713739","Ruda nad Moravou","1324","Myotis myotis",NA,NA,0,0,0,0,0,NA,2020-07-13
"CZ0713740","Sobotín - domov důchodců","1303","Rhinolophus hipposideros",NA,NA,0,0,0,0,0,NA,2020-07-17
"CZ0713741","Soudkova štola","1303","Rhinolophus hipposideros",NA,NA,0,0,0,0,0,NA,2020-01-13
"CZ0713742","Štola Marie Pomocná","1324","Myotis myotis",NA,NA,0,0,0,0,0,NA,2020-02-29
"CZ0713743","Štola Mařka","1308","Barbastella barbastellus",NA,NA,0,0,0,0,0,NA,2020-01-18
"CZ0713743","Štola Mařka","1324","Myotis myotis",NA,NA,0,0,0,0,0,NA,2020-01-18
"CZ0713745","Velké Losiny - lázeňský dům Eliška","1321","Myotis emarginatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0713746","Veselíčko","1324","Myotis myotis",NA,NA,0,0,0,0,0,NA,2020-06-11
"CZ0713747","Vlkoš - statek","1321","Myotis emarginatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0714073","Litovelské Pomoraví","1308","Barbastella barbastellus",1,1,0,0,0,0,0.384615384615385,0.5,2021-10-05
"CZ0714080","Špraněk","1321","Myotis emarginatus",NA,NA,0,NA,0,0,0,NA,2020-01-18
"CZ0714080","Špraněk","1308","Barbastella barbastellus",NA,NA,0,0,0,0,0,NA,2020-02-18
"CZ0714080","Špraněk","1323","Myotis bechsteinii",NA,NA,0,NA,NA,NA,0,NA,2019-10-19
"CZ0714080","Špraněk","1303","Rhinolophus hipposideros",NA,NA,0,0,0,0,0,NA,2020-02-18
"CZ0714086","Rychlebské hory - Sokolský hřbet","1324","Myotis myotis",NA,NA,0,0,0,0,0,NA,2020-02-01
"CZ0714086","Rychlebské hory - Sokolský hřbet","1303","Rhinolophus hipposideros",NA,NA,0,0,0,0,0,NA,2020-02-01
"CZ0714771","Hůrka u Hranic","1324","Myotis myotis",NA,NA,0,0,0,0,0,NA,2020-08-25
"CZ0723750","Jankovice - kostel","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0723751","Komňa - kostel","1324","Myotis myotis",NA,NA,0,NA,NA,NA,0,NA,2017-07-12
"CZ0723752","Lidečko - kostel","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
